EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
"Jo, 28 septembrie 2023",1,41,13,45,17,24,REPORT,"319.318,80","1.696.660,88",3,"35.479,86","0,00",219,"486,02","0,00",4.108,"30,00","0,00"
"Du, 24 septembrie 2023",14,13,19,47,5,48,REPORT,"550.284,00","1.377.342,08",9,"20.380,88","0,00",404,"454,02","0,00",7.973,"30,00","0,00"
"Jo, 21 septembrie 2023",37,46,32,4,9,43,REPORT,"327.058,08","827.058,08",2,"54.509,68","0,00",155,"703,35","0,00",3.015,"30,00","0,00"
"Du, 17 septembrie 2023",30,45,15,35,33,41,REPORT,"756.879,12","12.969.430,08",3,"84.097,68","0,00",319,"790,88","0,00",6.875,"30,00","0,00"
"Jo, 14 septembrie 2023",15,8,42,7,24,21,REPORT,"442.979,28","12.212.550,96",13,"11.358,44","0,00",425,"347,43","0,00",7.494,"30,00","0,00"
"Du, 10 septembrie 2023",31,34,49,30,4,39,REPORT,"833.464,80","11.769.571,68",6,"46.303,60","0,00",246,"1.129,35","0,00",5.796,"30,00","0,00"
"Jo, 7 septembrie 2023",37,18,27,20,31,26,REPORT,"433.557,84","10.936.106,88",1,"144.519,28","0,00",217,"665,98","0,00",4.736,"30,00","0,00"
"Du, 3 septembrie 2023",32,47,21,40,13,6,REPORT,"735.926,40","10.502.549,04",10,"24.530,88","0,00",370,"662,99","0,00",7.824,"30,00","0,00"
"Jo, 31 august 2023",31,41,39,15,17,47,REPORT,"430.366,80","9.766.622,64",2,"71.727,80","0,00",182,"788,21","0,00",3.786,"30,00","0,00"
"Du, 27 august 2023",29,7,6,4,39,20,REPORT,"653.953,44","9.336.255,84",6,"36.330,74","0,00",402,"542,24","0,00",8.778,"30,00","0,00"
"Jo, 24 august 2023",42,37,12,49,35,6,REPORT,"415.032,48","8.682.302,40",9,"15.371,57","0,00",226,"612,14","0,00",4.26,"30,00","0,00"
"Du, 20 august 2023",22,28,37,39,12,34,REPORT,"678.415,20","8.267.269,92",16,"14.133,65","0,00",497,"455,00","0,00",8.857,"30,00","0,00"
"Jo, 17 august 2023",39,43,29,20,32,30,REPORT,"438.362,88","7.588.854,72",2,"73.060,48","0,00",135,"1.082,37","0,00",3.088,"30,00","0,00"
"Du, 13 august 2023",14,30,1,10,2,15,REPORT,"694.347,36","7.150.491,84",13,"17.803,77","0,00",694,"333,50","0,00",10.619,"30,00","0,00"
"Jo, 10 august 2023",25,11,27,17,33,26,REPORT,"363.359,52","6.456.144,48",6,"20.186,64","0,00",340,"356,23","0,00",6.858,"30,00","0,00"
"Du, 6 august 2023",36,10,14,6,20,11,REPORT,"592.200,24","6.092.784,96",18,"10.966,67","0,00",574,"343,90","0,00",10.014,"30,00","0,00"
"Jo, 3 august 2023",15,21,10,47,4,38,REPORT,"375.468,72","5.500.584,72",2,"62.578,12","0,00",239,"523,66","0,00",4.467,"30,00","0,00"
"Du, 30 iulie 2023",31,27,6,19,35,29,REPORT,"589.905,12","5.125.116,00",5,"39.327,00","0,00",501,"392,48","0,00",9.163,"30,00","0,00"
"Jo, 27 iulie 2023",26,24,49,1,6,22,REPORT,"345.569,52","4.535.210,88",18,"6.399,43","0,00",291,"395,84","0,00",5.051,"30,00","0,00"
"Du, 23 iulie 2023",36,31,9,18,4,10,REPORT,"592.359,84","4.189.641,36",10,"19.745,32","0,00",499,"395,69","0,00",8.81,"30,00","0,00"
"Jo, 20 iulie 2023",3,20,18,9,46,47,REPORT,"377.901,36","3.597.281,52",5,"25.193,42","0,00",259,"486,35","0,00",4.628,"30,00","0,00"
"Du, 16 iulie 2023",38,10,26,36,13,23,REPORT,"564.311,76","3.219.380,16",4,"47.025,98","0,00",584,"322,09","0,00",9.824,"30,00","0,00"
"Jo, 13 iulie 2023",37,44,6,32,31,38,REPORT,"358.521,60","2.655.068,40",2,"59.753,60","0,00",113,"1.057,58","0,00",2.96,"30,00","0,00"
"Du, 9 iulie 2023",29,5,24,27,16,14,REPORT,"610.423,68","2.296.546,80",12,"16.956,21","0,00",626,"325,03","0,00",9.728,"30,00","0,00"
"Jo, 6 iulie 2023",44,32,30,39,13,35,REPORT,"313.158,00","1.586.123,12",4,"26.096,50","0,00",198,"527,20","0,00",3.096,"30,00","0,00"
"Du, 2 iulie 2023",28,36,18,40,6,39,REPORT,"504.130,56","1.272.965,12",1,"168.043,52","0,00",287,"585,51","0,00",5.683,"30,00","0,00"
"Jo, 29 iunie 2023",2,12,22,39,6,24,REPORT,"268.834,56","768.834,56",12,"7.467,62","0,00",295,"303,76","0,00",4.587,"30,00","0,00"
"Du, 25 iunie 2023",38,17,36,37,44,25,1,"50.096.011,76","0,00",21,"15.994,20","0,00",789,"425,70","0,00",13.002,"30,00","0,00"
"Jo, 22 iunie 2023",6,49,48,44,26,27,REPORT,"666.603,84","49.088.376,56",6,"37.033,54","0,00",379,"586,28","0,00",7.077,"30,00","0,00"
"Du, 18 iunie 2023",30,44,49,40,33,24,REPORT,"1.126.698,96","48.421.772,72",13,"28.889,71","0,00",527,"712,64","0,00",10.756,"30,00","0,00"
"Jo, 15 iunie 2023",8,21,3,37,38,46,REPORT,"690.711,36","47.295.073,76",5,"46.047,42","0,00",359,"641,32","0,00",7.286,"30,00","0,00"
"Du, 11 iunie 2023",49,35,20,40,41,24,REPORT,"1.082.784,48","46.604.362,40",6,"60.154,69","0,00",498,"724,75","0,00",9.088,"30,00","0,00"
"Jo, 8 iunie 2023",21,48,44,28,25,8,REPORT,"579.975,12","45.521.577,92",10,"19.332,50","0,00",491,"393,73","0,00",8.149,"30,00","0,00"
"Du, 4 iunie 2023",24,42,2,20,46,26,REPORT,"985.268,16","44.941.602,80",10,"32.842,27","0,00",500,"656,84","0,00",9.839,"30,00","0,00"
"Jo, 1 iunie 2023",6,41,33,17,2,13,REPORT,"595.041,84","43.956.334,64",14,"14.167,66","0,00",636,"311,86","0,00",10.642,"30,00","0,00"
"Du, 28 mai 2023",5,19,29,4,32,17,REPORT,"953.329,68","43.361.292,80",16,"19.861,03","0,00",837,"379,66","0,00",15.173,"30,00","0,00"
"Jo, 25 mai 2023",26,47,32,3,44,15,REPORT,"679.355,52","42.407.963,12",5,"45.290,36","0,00",411,"550,97","0,00",7.414,"30,00","0,00"
"Du, 21 mai 2023",42,49,47,39,41,17,REPORT,"1.145.042,16","41.728.607,60",6,"63.613,45","0,00",353,"1.081,24","0,00",8.084,"30,00","0,00"
"Jo, 18 mai 2023",36,37,17,29,13,34,REPORT,"593.364,96","40.583.565,44",17,"11.634,60","0,00",737,"268,36","0,00",11.135,"30,00","0,00"
"Du, 14 mai 2023",41,31,38,18,49,32,REPORT,"1.154.094,00","39.990.200,48",3,"128.232,66","0,00",286,"1.345,09","0,00",7.811,"30,00","0,00"
"Jo, 11 mai 2023",5,1,24,48,33,41,REPORT,"610.603,44","38.836.106,48",2,"101.767,24","0,00",296,"687,61","0,00",6.466,"30,00","0,00"
"Du, 7 mai 2023",1,41,36,8,32,20,REPORT,"996.339,12","38.225.503,04",9,"36.901,44","0,00",437,"759,98","0,00",9.156,"30,00","0,00"
"Jo, 4 mai 2023",27,47,48,7,21,41,REPORT,"540.282,24","37.229.163,92",8,"22.511,76","0,00",335,"537,59","0,00",6.505,"30,00","0,00"
"Du, 30 aprilie 2023",49,22,33,13,28,30,REPORT,"1.067.359,92","36.688.881,68",11,"32.344,24","0,00",752,"473,12","0,00",13.265,"30,00","0,00"
"Jo, 27 aprilie 2023",5,7,13,22,2,36,REPORT,"515.882,40","35.521.521,76",14,"12.282,91","0,00",756,"227,46","0,00",11.483,"30,00","0,00"
"Du, 23 aprilie 2023",6,45,38,44,39,10,REPORT,"1.001.018,88","35.005.639,36",5,"66.734,59","0,00",373,"894,56","0,00",8.703,"30,00","0,00"
"Jo, 20 aprilie 2023",32,12,6,9,42,48,REPORT,"560.856,24","34.004.620,48",6,"31.158,68","0,00",345,"541,89","0,00",7.07,"30,00","0,00"
"Sb, 15 aprilie 2023",48,39,27,4,26,21,REPORT,"0,00","32.168.577,20",6,"70.434,61","0,00",665,"635,50","0,00",13.631,"30,00","0,00"
"Du, 9 aprilie 2023",13,19,42,27,46,25,REPORT,"885.986,88","30.900.754,16",16,"18.458,06","0,00",1.039,"284,24","0,00",15.747,"30,00","0,00"
"Jo, 6 aprilie 2023",4,31,38,2,22,12,REPORT,"517.519,44","30.014.767,28",14,"12.321,89","0,00",364,"473,91","0,00",6.714,"30,00","0,00"
"Du, 2 aprilie 2023",5,16,12,36,32,1,REPORT,"913.097,04","29.497.247,84",11,"27.669,60","0,00",591,"515,00","0,00",11.953,"30,00","0,00"
"Jo, 30 martie 2023",16,48,25,21,24,20,REPORT,"529.782,96","28.584.150,80",2,"88.297,16","0,00",227,"777,94","0,00",5.635,"30,00","0,00"
"Du, 26 martie 2023",21,33,36,14,2,35,REPORT,"922.005,12","28.054.367,84",12,"25.611,25","0,00",491,"625,93","0,00",10.355,"30,00","0,00"
"Jo, 23 martie 2023",35,24,10,48,28,40,REPORT,"562.708,80","27.132.362,72",4,"46.892,40","0,00",309,"607,02","0,00",6.243,"30,00","0,00"
"Du, 19 martie 2023",21,5,13,10,47,36,REPORT,"885.255,84","26.569.653,92",19,"15.530,80","0,00",941,"313,58","0,00",15.393,"30,00","0,00"
"Jo, 16 martie 2023",29,3,27,33,38,31,REPORT,"555.530,88","25.684.398,08",8,"23.147,12","0,00",345,"536,74","0,00",7.837,"30,00","0,00"
"Du, 12 martie 2023",30,21,43,8,23,7,REPORT,"0,00","24.249.461,36",14,"19.487,80","0,00",742,"367,69","0,00",12.968,"30,00","0,00"
"Jo, 9 martie 2023",22,47,34,29,10,9,REPORT,"537.279,60","23.430.973,52",9,"19.899,24","0,00",482,"371,56","0,00",7.75,"30,00","0,00"
"Du, 5 martie 2023",18,44,15,40,30,12,REPORT,"946.261,68","22.893.693,92",7,"45.060,08","0,00",484,"651,69","0,00",10.43,"30,00","0,00"
"Jo, 2 martie 2023",48,33,5,45,29,49,REPORT,"529.369,20","21.947.432,24",3,"58.818,80","0,00",339,"520,52","0,00",7.167,"30,00","0,00"
"Du, 26 februarie 2023",4,9,21,35,7,32,REPORT,"953.178,24","21.418.063,04",9,"35.302,89","0,00",629,"505,12","0,00",12.088,"30,00","0,00"
"Jo, 23 februarie 2023",13,44,12,45,6,2,REPORT,"479.963,04","20.364.884,80",3,"53.329,22","0,00",341,"469,17","0,00",6.798,"30,00","0,00"
"Du, 19 februarie 2023",41,46,28,24,26,47,REPORT,"925.063,68","19.884.921,76",6,"51.392,42","0,00",346,"891,19","0,00",7.893,"30,00","0,00"
"Jo, 16 februarie 2023",14,43,7,40,37,36,REPORT,"527.927,04","18.959.858,08",4,"43.993,92","0,00",328,"536,51","0,00",5.986,"30,00","0,00"
"Du, 12 februarie 2023",36,14,40,19,15,28,REPORT,"870.117,36","18.431.931,04",10,"29.003,91","0,00",646,"448,97","0,00",11.767,"30,00","0,00"
"Jo, 9 februarie 2023",17,29,44,49,30,26,REPORT,"484.431,84","17.561.813,68",5,"32.295,45","0,00",252,"640,78","0,00",5.314,"30,00","0,00"
"Du, 5 februarie 2023",23,8,19,11,31,33,REPORT,"748.074,24","17.077.381,84",15,"16.623,87","0,00",695,"358,78","0,00",12.566,"30,00","0,00"
"Jo, 2 februarie 2023",10,45,33,29,25,44,REPORT,"461.481,60","16.329.307,60",7,"21.975,31","0,00",332,"463,33","0,00",6.368,"30,00","0,00"
"Du, 29 ianuarie 2023",9,19,25,2,39,38,REPORT,"724.524,96","15.867.826,00",9,"26.834,25","0,00",615,"392,69","0,00",10.79,"30,00","0,00"
"Jo, 26 ianuarie 2023",49,42,34,28,11,37,REPORT,"455.233,44","15.143.301,04",3,"50.581,49","0,00",262,"579,17","0,00",4.586,"30,00","0,00"
"Du, 22 ianuarie 2023",41,23,20,37,36,43,REPORT,"829.972,56","14.688.067,60",3,"92.219,17","0,00",374,"739,72","0,00",8.716,"30,00","0,00"
"Jo, 19 ianuarie 2023",47,30,44,39,3,31,REPORT,"508.478,64","13.858.095,04",3,"56.497,62","0,00",198,"856,02","0,00",3.804,"30,00","0,00"
"Du, 15 ianuarie 2023",21,9,31,18,41,16,REPORT,"845.814,24","13.349.616,40",11,"25.630,73","0,00",564,"499,89","0,00",10.482,"30,00","0,00"
"Jo, 12 ianuarie 2023",6,2,4,7,12,39,REPORT,"394.194,72","12.503.802,16",11,"11.945,29","0,00",431,"304,86","0,00",7.118,"30,00","0,00"
"Du, 8 ianuarie 2023",42,37,2,24,16,6,REPORT,"723.098,40","12.109.607,44",14,"17.216,62","0,00",682,"353,42","0,00",10.275,"30,00","0,00"
"Jo, 5 ianuarie 2023",23,35,40,6,14,16,REPORT,"421.545,36","11.386.509,04",6,"23.419,18","0,00",261,"538,37","0,00",5.127,"30,00","0,00"
"Sb, 31 decembrie 2022",13,4,35,19,10,7,REPORT,"0,00","9.087.824,24",38,"10.554,11","0,00",2.043,"196,30","0,00",29.779,"30,00","0,00"
"Sb, 24 decembrie 2022",39,41,28,1,45,4,REPORT,"1.221.675,36","7.884.654,80",5,"81.445,02","0,00",348,"1.170,18","0,00",8.602,"30,00","0,00"
"Du, 18 decembrie 2022",3,21,40,26,16,15,REPORT,"645.814,32","6.512.979,44",8,"26.908,93","0,00",362,"594,67","0,00",7.743,"30,00","0,00"
"Jo, 15 decembrie 2022",33,39,46,4,26,8,REPORT,"366.792,00","5.867.165,12",10,"12.226,40","0,00",375,"326,03","0,00",4.811,"30,00","0,00"
"Du, 11 decembrie 2022",45,8,12,41,35,30,REPORT,"631.063,92","5.500.373,12",4,"52.588,66","0,00",298,"705,88","0,00",6.322,"30,00","0,00"
"Jo, 8 decembrie 2022",24,29,38,5,25,35,REPORT,"330.154,80","4.869.309,20",3,"36.683,86","0,00",227,"484,80","0,00",4.717,"30,00","0,00"
"Du, 4 decembrie 2022",36,27,23,14,38,43,REPORT,"688.888,32","4.539.154,40",16,"14.351,84","0,00",650,"353,27","0,00",10.131,"30,00","0,00"
"Du, 27 noiembrie 2022",19,33,39,18,30,26,REPORT,"589.903,92","3.850.266,08",33,"5.958,62","0,00",547,"359,47","0,00",8.086,"30,00","0,00"
"Jo, 24 noiembrie 2022",17,25,32,29,18,49,REPORT,"323.272,08","3.260.362,16",1,"107.757,36","0,00",211,"510,69","0,00",4.133,"30,00","0,00"
"Du, 20 noiembrie 2022",47,45,40,1,30,24,REPORT,"655.053,84","2.937.090,08",5,"43.670,25","0,00",204,"1.070,34","0,00",4.963,"30,00","0,00"
"Jo, 17 noiembrie 2022",18,11,29,36,10,35,REPORT,"326.949,84","2.282.036,24",4,"27.245,82","0,00",228,"477,99","0,00",4.746,"30,00","0,00"
"Du, 13 noiembrie 2022",44,10,2,6,31,23,REPORT,"596.993,28","1.955.086,40",8,"24.874,72","0,00",503,"395,62","0,00",8.873,"30,00","0,00"
"Jo, 10 noiembrie 2022",31,3,24,12,23,7,REPORT,"282.377,04","1.358.093,12",11,"8.556,88","0,00",368,"255,77","0,00",5.819,"30,00","0,00"
"Du, 6 noiembrie 2022",40,29,2,10,18,37,REPORT,"575.716,08","1.075.716,08",5,"38.381,07","0,00",403,"476,19","0,00",7.277,"30,00","0,00"
"Jo, 3 noiembrie 2022",30,12,25,10,1,37,1,"19.198.843,92","0,00",9,"15.657,03","0,00",456,"309,02","0,00",7.22,"30,00","0,00"
"Du, 30 octombrie 2022",13,21,17,9,42,43,REPORT,"774.422,40","18.776.104,08",14,"18.438,62","0,00",713,"362,04","0,00",12.256,"30,00","0,00"
"Jo, 27 octombrie 2022",16,30,2,9,25,1,REPORT,"487.334,40","18.001.681,68",10,"16.244,48","0,00",467,"347,84","0,00",7.553,"30,00","0,00"
"Du, 23 octombrie 2022",24,38,18,6,25,2,REPORT,"546.510,00","17.514.347,28",20,"9.108,50","0,00",863,"211,08","0,00",13.868,"30,00","0,00"
"Jo, 20 octombrie 2022",6,41,47,15,2,24,REPORT,"353.850,00","16.967.837,28",13,"9.073,07","0,00",350,"337,00","0,00",6.378,"30,00","0,00"
"Du, 16 octombrie 2022",16,22,18,32,48,1,REPORT,"658.977,60","16.613.987,28",8,"27.457,40","0,00",461,"476,48","0,00",9.85,"30,00","0,00"
"Jo, 13 octombrie 2022",22,40,45,5,20,44,REPORT,"381.318,00","15.955.009,68",8,"15.888,25","0,00",227,"559,93","0,00",5.17,"30,00","0,00"
"Du, 9 octombrie 2022",5,18,49,34,31,40,REPORT,"610.440,00","15.573.691,68",5,"40.696,00","0,00",419,"485,63","0,00",8.41,"30,00","0,00"
"Jo, 6 octombrie 2022",25,27,9,13,37,7,REPORT,"225.213,60","14.963.251,68",24,"3.127,96","0,00",900,"83,41","0,00",11.904,"30,00","0,00"
"Du, 2 octombrie 2022",36,6,29,10,20,23,REPORT,"508.222,80","14.738.038,08",13,"13.031,35","0,00",879,"192,72","0,00",14.164,"30,00","0,00"
"Jo, 29 septembrie 2022",7,18,22,30,33,12,REPORT,"279.858,00","14.229.815,28",7,"13.326,57","0,00",480,"194,34","0,00",8.591,"30,00","0,00"
"Du, 25 septembrie 2022",31,20,9,25,15,2,REPORT,"501.400,80","13.949.957,28",14,"11.938,11","0,00",845,"197,79","0,00",13.109,"30,00","0,00"
"Jo, 22 septembrie 2022",13,35,18,28,10,47,REPORT,"295.000,80","13.448.556,48",12,"8.194,46","0,00",515,"190,93","0,00",7.856,"30,00","0,00"
"Du, 18 septembrie 2022",21,41,31,14,2,43,REPORT,"614.187,60","13.153.555,68",6,"34.121,53","0,00",353,"579,96","0,00",7.403,"30,00","0,00"
"Jo, 15 septembrie 2022",45,49,12,40,10,41,REPORT,"367.873,20","12.539.368,08",3,"40.874,80","0,00",260,"471,63","0,00",4.929,"30,00","0,00"
"Du, 11 septembrie 2022",19,18,31,10,5,17,REPORT,"0,00","11.443.893,28",8,"18.643,65","0,00",596,"250,25","0,00",11.338,"30,00","0,00"
"Jo, 8 septembrie 2022",44,48,21,10,27,17,REPORT,"326.778,00","10.996.445,68",12,"9.077,16","0,00",398,"273,68","0,00",6.88,"30,00","0,00"
"Du, 4 septembrie 2022",47,31,8,36,26,27,REPORT,"551.180,40","10.669.667,68",2,"91.863,40","0,00",418,"439,53","0,00",9.793,"30,00","0,00"
"Jo, 1 septembrie 2022",14,43,10,45,30,6,REPORT,"319.761,60","10.118.487,28",9,"11.843,02","0,00",265,"402,21","0,00",5.429,"30,00","0,00"
"Du, 28 august 2022",39,31,24,38,3,43,REPORT,"547.083,60","9.798.725,68",7,"26.051,60","0,00",456,"399,91","0,00",8.154,"30,00","0,00"
"Jo, 25 august 2022",48,39,21,27,30,9,REPORT,"327.199,20","9.251.642,08",8,"13.633,30","0,00",327,"333,53","0,00",5.813,"30,00","0,00"
"Du, 21 august 2022",2,12,27,15,16,9,REPORT,"434.515,20","8.924.442,88",23,"6.297,32","0,00",936,"154,74","0,00",14.15,"30,00","0,00"
"Jo, 18 august 2022",16,35,37,27,5,18,REPORT,"278.889,60","8.489.927,68",11,"8.451,20","0,00",451,"206,12","0,00",7.587,"30,00","0,00"
"Du, 14 august 2022",20,4,25,23,26,34,REPORT,"531.856,80","8.211.038,08",4,"44.321,40","0,00",527,"336,40","0,00",10.607,"30,00","0,00"
"Jo, 11 august 2022",10,28,6,30,11,33,REPORT,"269.246,40","7.679.181,28",11,"8.158,98","0,00",473,"189,74","0,00",7.694,"30,00","0,00"
"Du, 7 august 2022",9,32,17,6,41,11,REPORT,"462.334,80","7.409.934,88",19,"8.111,13","0,00",626,"246,18","0,00",10.715,"30,00","0,00"
"Jo, 4 august 2022",18,40,5,46,49,23,REPORT,"299.836,80","6.947.600,08",3,"33.315,20","0,00",236,"423,49","0,00",4.703,"30,00","0,00"
"Du, 31 iulie 2022",21,38,26,24,12,20,REPORT,"470.594,40","6.647.763,28",10,"15.686,48","0,00",516,"304,00","0,00",9.851,"30,00","0,00"
"Jo, 28 iulie 2022",17,48,40,23,36,2,REPORT,"291.706,80","6.177.168,88",6,"16.205,93","0,00",295,"329,61","0,00",4.966,"30,00","0,00"
"Du, 24 iulie 2022",39,35,38,10,4,43,REPORT,"498.318,00","5.885.462,08",3,"55.368,66","0,00",345,"481,46","0,00",6.802,"30,00","0,00"
"Jo, 21 iulie 2022",10,24,6,3,8,14,REPORT,"240.075,60","5.387.144,08",8,"10.003,15","0,00",520,"153,89","0,00",8.472,"30,00","0,00"
"Du, 17 iulie 2022",17,8,27,38,29,25,REPORT,"431.398,80","5.147.068,48",18,"7.988,86","0,00",732,"196,44","0,00",12.348,"30,00","0,00"
"Jo, 14 iulie 2022",32,17,7,48,46,27,REPORT,"275.883,60","4.715.669,68",4,"22.990,30","0,00",370,"248,54","0,00",6.038,"30,00","0,00"
"Du, 10 iulie 2022",1,23,18,49,42,29,REPORT,"692.527,68","4.439.786,08",4,"57.710,64","0,00",461,"500,74","0,00",8.361,"30,00","0,00"
"Jo, 7 iulie 2022",22,40,10,7,14,11,REPORT,"221.295,60","3.647.258,40",5,"14.753,04","0,00",398,"185,33","0,00",6.939,"30,00","0,00"
"Du, 3 iulie 2022",42,44,19,28,26,13,REPORT,"398.964,00","3.425.962,80",10,"13.298,80","0,00",589,"225,78","0,00",10.114,"30,00","0,00"
"Jo, 30 iunie 2022",10,43,9,20,21,44,REPORT,"268.113,60","3.026.998,80",2,"44.685,60","0,00",152,"587,96","0,00",3.878,"30,00","0,00"
"Du, 26 iunie 2022",35,33,27,10,46,43,REPORT,"461.936,40","2.758.885,20",7,"21.996,97","0,00",391,"393,80","0,00",7.941,"30,00","0,00"
"Jo, 23 iunie 2022",28,42,8,1,25,46,REPORT,"260.662,80","2.296.948,80",4,"21.721,90","0,00",210,"413,75","0,00",4.811,"30,00","0,00"
"Du, 19 iunie 2022",28,26,9,2,48,5,REPORT,"425.880,00","2.036.286,00",14,"10.140,00","0,00",612,"231,96","0,00",10.413,"30,00","0,00"
"Jo, 16 iunie 2022",36,24,21,22,31,35,REPORT,"282.655,20","1.610.406,00",1,"94.218,40","0,00",129,"730,37","0,00",3.606,"30,00","0,00"
"Du, 12 iunie 2022",36,13,19,37,27,38,REPORT,"401.200,80","1.327.750,80",7,"19.104,80","0,00",544,"245,83","0,00",10.564,"30,00","0,00"
"Jo, 9 iunie 2022",6,39,42,5,34,13,REPORT,"228.699,60","926.550,00",7,"10.890,45","0,00",225,"338,81","0,00",4.49,"30,00","0,00"
"Du, 5 iunie 2022",15,23,18,34,11,41,REPORT,"397.850,40","697.850,40",8,"16.577,10","0,00",509,"260,54","0,00",8.1,"30,00","0,00"
"Jo, 2 iunie 2022",7,39,31,12,25,35,1,"8.496.320,80","0,00",4,"27.300,30","0,00",432,"252,78","0,00",7.101,"30,00","0,00"
"Du, 29 mai 2022",26,10,20,41,16,13,REPORT,"506.326,80","8.168.717,20",16,"10.548,47","0,00",668,"252,65","0,00",12.217,"30,00","0,00"
"Jo, 26 mai 2022",22,32,33,41,44,19,REPORT,"346.846,80","7.662.390,40",4,"28.903,90","0,00",238,"485,77","0,00",5.165,"30,00","0,00"
"Du, 22 mai 2022",47,34,38,9,39,30,REPORT,"598.848,00","7.315.543,60",4,"49.904,00","0,00",417,"478,69","0,00",7.794,"30,00","0,00"
"Jo, 19 mai 2022",6,11,32,17,15,7,REPORT,"300.699,60","6.716.695,60",13,"7.710,24","0,00",437,"229,36","0,00",7.832,"30,00","0,00"
"Du, 15 mai 2022",45,6,24,5,39,44,REPORT,"571.166,40","6.415.996,00",4,"47.597,20","0,00",504,"377,75","0,00",10.014,"30,00","0,00"
"Jo, 12 mai 2022",25,10,8,44,23,28,REPORT,"275.172,00","5.844.829,60",9,"10.191,55","0,00",425,"215,82","0,00",8.098,"30,00","0,00"
"Du, 8 mai 2022",22,8,27,3,41,11,REPORT,"447.057,60","5.569.657,60",17,"8.765,83","0,00",878,"169,72","0,00",13.771,"30,00","0,00"
"Jo, 5 mai 2022",12,36,34,38,41,40,REPORT,"324.903,60","5.122.600,00",1,"108.301,20","0,00",184,"588,59","0,00",3.928,"30,00","0,00"
"Du, 1 mai 2022",10,29,37,49,26,42,REPORT,"508.383,60","4.797.696,40",16,"10.591,32","0,00",448,"378,26","0,00",8.62,"30,00","0,00"
"Jo, 28 aprilie 2022",2,43,26,16,38,32,REPORT,"272.809,20","4.289.312,80",5,"18.187,28","0,00",285,"319,07","0,00",4.563,"30,00","0,00"
